# Hour,# Average Distance
0.000000000000000000e+00,6.974632073475454490e+02
1.000000000000000000e+00,7.022461462713525862e+02
2.000000000000000000e+00,8.344787089611285182e+02
3.000000000000000000e+00,8.956709026638361593e+02
4.000000000000000000e+00,5.393638533041322489e+02
5.000000000000000000e+00,2.674673605633801685e+02
6.000000000000000000e+00,1.168528571428571468e+02
1.700000000000000000e+01,7.457217666545249131e+02
1.800000000000000000e+01,6.581972572742387229e+02
1.900000000000000000e+01,8.884129347408818376e+02
2.000000000000000000e+01,9.485700245803305961e+02
2.100000000000000000e+01,7.932344277254433109e+02
2.200000000000000000e+01,6.617455485248233344e+02
2.300000000000000000e+01,6.720970808878371372e+02
