# Hour,# Average Distance
0.000000000000000000e+00,1.126888795454545516e+03
1.000000000000000000e+00,8.193541136363637634e+02
2.000000000000000000e+00,6.961261454545453944e+02
3.000000000000000000e+00,1.460206517171717223e+03
4.000000000000000000e+00,8.529342818181818302e+02
5.000000000000000000e+00,7.107423333333334767e+02
1.800000000000000000e+01,1.039947666666666464e+03
1.900000000000000000e+01,8.926822234848484641e+02
2.000000000000000000e+01,8.639664924242423467e+02
2.100000000000000000e+01,1.273011037878787647e+03
2.200000000000000000e+01,1.099540284090908926e+03
2.300000000000000000e+01,1.056795886904762028e+03
