# Hour,# Average Distance
0.000000000000000000e+00,8.058339960317459827e+02
1.000000000000000000e+00,8.763933723758322003e+02
2.000000000000000000e+00,9.632162133896566729e+02
3.000000000000000000e+00,1.395553377880184371e+03
4.000000000000000000e+00,2.070163239141810720e+02
1.700000000000000000e+01,4.297176923076923458e+02
1.800000000000000000e+01,7.718932557471264317e+02
1.900000000000000000e+01,1.530040432034632204e+03
2.000000000000000000e+01,1.086583651468602966e+03
2.100000000000000000e+01,8.478326860540892085e+02
2.200000000000000000e+01,7.904564688358236708e+02
2.300000000000000000e+01,7.499438771551723448e+02
