# Hour,# Average Distance
0.000000000000000000e+00,3.543524462365591035e+02
1.000000000000000000e+00,3.553686738351254917e+02
2.000000000000000000e+00,3.209635573476703030e+02
3.000000000000000000e+00,3.652963261648745856e+02
4.000000000000000000e+00,8.900238888888890187e+02
5.000000000000000000e+00,1.098074444444444680e+03
6.000000000000000000e+00,1.511799999999999784e+02
1.700000000000000000e+01,7.991851724137932251e+02
1.800000000000000000e+01,6.490304074702888784e+02
1.900000000000000000e+01,4.134989303904923190e+02
2.000000000000000000e+01,4.522102801358233819e+02
2.100000000000000000e+01,4.581830560271646959e+02
2.200000000000000000e+01,4.615002376910016437e+02
2.300000000000000000e+01,4.175308113590264156e+02
