# Hour,# Average Distance
0.000000000000000000e+00,4.308169268077601259e+02
1.000000000000000000e+00,5.358449470899471407e+02
2.000000000000000000e+00,4.380664621489621027e+02
3.000000000000000000e+00,3.975653218694885709e+02
4.000000000000000000e+00,5.387233928571429260e+02
5.000000000000000000e+00,7.997871428571428396e+02
6.000000000000000000e+00,9.945199999999999818e+01
1.700000000000000000e+01,1.337869230769230626e+03
1.800000000000000000e+01,6.299975000000000591e+02
1.900000000000000000e+01,4.815805158730158269e+02
2.000000000000000000e+01,4.388138888888888687e+02
2.100000000000000000e+01,4.891849206349206725e+02
2.200000000000000000e+01,3.890100396825396274e+02
2.300000000000000000e+01,4.077254279720279442e+02
