# Hour,# Average Distance
0.000000000000000000e+00,3.896777150537634498e+02
1.000000000000000000e+00,4.956264516129032813e+02
2.000000000000000000e+00,3.949952057842046997e+02
3.000000000000000000e+00,4.365064516129032199e+02
4.000000000000000000e+00,6.847225806451615426e+02
5.000000000000000000e+00,6.307909677419354466e+02
6.000000000000000000e+00,1.695300000000000011e+02
1.700000000000000000e+01,7.953475862068963806e+02
1.800000000000000000e+01,4.896755591397849230e+02
1.900000000000000000e+01,4.419827096774194501e+02
2.000000000000000000e+01,4.574407842046719566e+02
2.100000000000000000e+01,4.147805645161289476e+02
2.200000000000000000e+01,4.818849784946236809e+02
2.300000000000000000e+01,4.620362623152709034e+02
