# Hour,# Average Distance
0.000000000000000000e+00,8.217365664733069934e+02
1.000000000000000000e+00,7.888795530796077173e+02
2.000000000000000000e+00,1.138853110716138417e+03
3.000000000000000000e+00,9.876447032871157035e+02
4.000000000000000000e+00,6.090999999999999659e+01
1.700000000000000000e+01,1.302459999999999809e+02
1.800000000000000000e+01,6.335527777777776492e+01
1.900000000000000000e+01,9.771092918384671293e+02
2.000000000000000000e+01,1.349162382952509006e+03
2.100000000000000000e+01,1.042502786652698660e+03
2.200000000000000000e+01,8.572869193877819498e+02
2.300000000000000000e+01,7.927731599862462417e+02
