# Hour,# Average Distance
0.000000000000000000e+00,6.857483875291374034e+02
1.000000000000000000e+00,7.448608034090909769e+02
2.000000000000000000e+00,9.320362409791629261e+02
3.000000000000000000e+00,7.152549143073592859e+02
4.000000000000000000e+00,1.145750000000000028e+02
1.700000000000000000e+01,1.434419074074073990e+02
1.800000000000000000e+01,1.008829722222222216e+02
1.900000000000000000e+01,6.524178349637680867e+02
2.000000000000000000e+01,9.613419630273325538e+02
2.100000000000000000e+01,9.322906417837235722e+02
2.200000000000000000e+01,7.422875618224873051e+02
2.300000000000000000e+01,7.796074258838987134e+02
