# Hour,# Average Distance
0.000000000000000000e+00,5.347837298387095188e+02
1.000000000000000000e+00,5.807845907144467219e+02
2.000000000000000000e+00,3.960175985663082088e+02
3.000000000000000000e+00,5.203769454775457461e+02
4.000000000000000000e+00,9.638651843317973089e+02
5.000000000000000000e+00,4.409908064516128547e+02
1.700000000000000000e+01,4.271700000000000728e+02
1.800000000000000000e+01,5.006172106261859085e+02
1.900000000000000000e+01,4.916872631848438573e+02
2.000000000000000000e+01,4.680302687081505724e+02
2.100000000000000000e+01,3.769239554531490626e+02
2.200000000000000000e+01,4.441867347670249728e+02
2.300000000000000000e+01,5.517753119868635849e+02
