# Hour,# Average Distance
0.000000000000000000e+00,6.730016074908708106e+02
1.000000000000000000e+00,6.243082644671504795e+02
2.000000000000000000e+00,9.341023956900942267e+02
3.000000000000000000e+00,8.727200782456922070e+02
4.000000000000000000e+00,8.011800906862745251e+02
5.000000000000000000e+00,1.321395000000000209e+03
1.700000000000000000e+01,1.321433333333333451e+02
1.800000000000000000e+01,3.485116287878788057e+02
1.900000000000000000e+01,8.609028145517677331e+02
2.000000000000000000e+01,7.908266547221966221e+02
2.100000000000000000e+01,7.209022498575986901e+02
2.200000000000000000e+01,6.401880733581111826e+02
2.300000000000000000e+01,6.761551700603317840e+02
