# Hour,# Average Distance
0.000000000000000000e+00,8.873434151404150043e+02
1.000000000000000000e+00,7.111969694749692508e+02
2.000000000000000000e+00,6.965241599511599588e+02
3.000000000000000000e+00,8.583124322344323218e+02
4.000000000000000000e+00,1.333022637362637397e+03
5.000000000000000000e+00,1.894999999999999929e+01
1.700000000000000000e+01,1.665793284493284546e+03
1.800000000000000000e+01,8.210359706959707182e+02
1.900000000000000000e+01,9.188618852258854304e+02
2.000000000000000000e+01,8.202062527472527336e+02
2.100000000000000000e+01,7.404252258852260411e+02
2.200000000000000000e+01,8.924032258852258792e+02
2.300000000000000000e+01,9.873841102756890677e+02
