# Hour,# Average Distance
0.000000000000000000e+00,7.094998790322581499e+02
1.000000000000000000e+00,6.470270161290322903e+02
2.000000000000000000e+00,6.079305241935484219e+02
3.000000000000000000e+00,6.621957258064516054e+02
4.000000000000000000e+00,1.039914032258064481e+03
5.000000000000000000e+00,1.048700000000000045e+02
1.700000000000000000e+01,1.442890188172043054e+03
1.800000000000000000e+01,7.911183064516129662e+02
1.900000000000000000e+01,8.070770161290322449e+02
2.000000000000000000e+01,6.528415725806452201e+02
2.100000000000000000e+01,7.198452419354838412e+02
2.200000000000000000e+01,6.109857661290321857e+02
2.300000000000000000e+01,6.550624137931034738e+02
