# Hour,# Average Distance
0.000000000000000000e+00,5.314380138808559195e+02
1.000000000000000000e+00,5.194467515905147366e+02
2.000000000000000000e+00,6.214872119722383559e+02
3.000000000000000000e+00,6.396336429535376737e+02
4.000000000000000000e+00,8.536230310846560769e+02
5.000000000000000000e+00,2.672566666666667174e+02
1.700000000000000000e+01,8.180159897342996373e+02
1.800000000000000000e+01,9.958331993464053085e+02
1.900000000000000000e+01,9.173298112726871523e+02
2.000000000000000000e+01,6.695730413533834735e+02
2.100000000000000000e+01,6.896150054945054535e+02
2.200000000000000000e+01,5.939279630807787953e+02
2.300000000000000000e+01,5.606058812615955276e+02
